AIRPORT_CODE,LATITUDE,LONGITUDE,DISPLAY_AIRPORT_NAME,STATE_NAME,STATE_CODE,COUNTRY_NAME,CITY_NAME
DLS,45.61944444,-121.16833333,Columbia Gorge Regional/The Dalles Municipal,Oregon,OR,United States,The Dalles
CAE,33.93888889,-81.11944444,Columbia Metropolitan,South Carolina,SC,United States,Columbia
COU,38.81722222,-92.21805556,Columbia Regional,Missouri,MO,United States,Columbia
CBM,33.64527778,-88.44583333,Columbus AFB,Mississippi,MS,United States,Columbus
CSG,32.51638889,-84.93888889,Columbus Airport,Georgia,GA,United States,Columbus
N5C,34.27277778,-78.715,Columbus County Municipal,North Carolina,NC,United States,Whiteville
OLU,41.44861111,-97.34083333,Columbus Municipal,Nebraska,NE,United States,Columbus
CLU,39.26194444,-85.89638889,Columbus Municipal,Indiana,IN,United States,Columbus
UBS,33.46527778,-88.38083333,Columbus-Lowndes County,Mississippi,MS,United States,Columbus
FVL,39.17916667,-121.99333333,Colusa Airport,California,CA,United States,Colusa
DQI,39.17888889,-121.99333333,Colusa County,California,CA,United States,Colusa
YCK,67.02111111,-126.12861111,Colville Lake Tommy Kochon,Northwest Territories,NT,Canada,Colville Lake
RQY,31.92027778,-98.59916667,Comanche County-City,Texas,TX,United States,Comanche
JBP,33.98666667,-118.16055556,Commerce Business Park Heliport,California,CA,United States,Commerce
WBH,34.01666667,-118.13333333,Commerce/Montebello Heliport,California,CA,United States,Commerce/Montebello
YQQ,49.71083333,-124.88666667,Comox Airport,British Columbia,BC,Canada,Comox
CON,43.20277778,-71.50222222,Concord Municipal,New Hampshire,NH,United States,Concord
WQI,46.66138889,-118.83055556,Connell City,Washington,WA,United States,Connell
CXO,30.35333333,-95.415,Conroe North Houston Regional,Texas,TX,United States,Conroe
DGW,42.79722222,-105.38583333,Converse County,Wyoming,WY,United States,Douglas
SC3,33.82861111,-79.12222222,Conway-Horry County,South Carolina,SC,United States,Conway
XWE,47.14472222,-124.18916667,Copalis State,Washington,WA,United States,Copalis
CZC,61.94111111,-145.29416667,Copper Center 2,Alaska,AK,United States,Copper Center
FL7,26.85361111,-82.2525,Coral Creek,Florida,FL,United States,Placida
YZS,64.19333333,-83.35944444,Coral Harbour Airport,Nunavut Territory,NU,Canada,Coral Harbour
BC4,50.44666667,-125.45277778,Cordero Lodge Airport,British Columbia,BC,Canada,Cordero Lodge
CKU,60.54361111,-145.72583333,Cordova Municipal,Alaska,AK,United States,Cordova
CBA,57.73777778,-135.12555556,Corner Bay Airport,Alaska,AK,United States,Corner Bay
YCC,45.09277778,-74.56777778,Cornwall Regional,Ontario,ON,Canada,Cornwall
CRP,27.77222222,-97.5025,Corpus Christi International,Texas,TX,United States,Corpus Christi
NGP,27.69277778,-97.29027778,Corpus Christi NAS,Texas,TX,United States,Corpus Christi
YCF,50.05694444,-124.83333333,Cortes Bay Airport,British Columbia,BC,Canada,Cortes Bay
CEZ,37.30305556,-108.62805556,Cortez Municipal,Colorado,CO,United States,Cortez
CTX,42.59277778,-76.215,Cortland County Chase Field,New York,NY,United States,Cortland
CVO,44.49722222,-123.28944444,Corvallis Municipal,Oregon,OR,United States,Corvallis
A58,64.5,-151.66666667,Cosna River Airport,Alaska,AK,United States,Cosna River
CTW,34.73,-112.03527778,Cottonwood Airport,Arizona,AZ,United States,Cottonwood
COT,28.45583333,-99.21722222,Cotulla-La Salle County,Texas,TX,United States,Cotulla
CIL,64.89666667,-163.70361111,Council Airport,Alaska,AK,United States,Council
CBF,41.26,-95.75861111,Council Bluffs Municipal,Iowa,IA,United States,Council Bluffs
RQG,35.58333333,-89.58722222,Covington Municipal,Tennessee,TN,United States,Covington
PRX,33.63666667,-95.45083333,Cox Field,Texas,TX,United States,Paris
DQQ,40.86972222,-100.00416667,Cozad Municipal,Nebraska,NE,United States,Cozad
CJI,60.50277778,-147.94027778,Crafton Island Airport,Alaska,AK,United States,Crafton Island
SEM,32.34388889,-86.98777778,Craig Field,Alabama,AL,United States,Selma
CGA,55.47916667,-133.14611111,Craig Seaplane Base,Alaska,AK,United States,Craig
CIG,40.49527778,-107.52166667,Craig-Moffat,Colorado,CO,United States,Craig
QCW,48.6,-123.0,Crane Island Airport,Washington,WA,United States,Crane Island
LMT,42.15611111,-121.73305556,Crater Lake Klamath Regional,Oregon,OR,United States,Klamath Falls
INS,36.58722222,-115.67333333,Creech AFB,Nevada,NV,United States,Indian Springs
CKD,61.86777778,-158.135,Crooked Creek Airport,Alaska,AK,United States,Crooked Creek
8F3,33.62388889,-101.24083333,Crosbyton Municipal,Texas,TX,United States,Crosbyton
CTY,29.63555556,-83.10472222,Cross City Airport,Florida,FL,United States,Cross City
YCR,54.61083333,-97.76027778,Cross Lake Airport,Manitoba,MB,Canada,Cross Lake
JSK,45.55,-94.2,Crossroads Heliport,Minnesota,MN,United States,St. Cloud
CSV,35.95138889,-85.085,Crossville Memorial-Whitson Field,Tennessee,TN,United States,Crossville
MIC,45.06194444,-93.35388889,Crystal,Minnesota,MN,United States,Minneapolis
CUW,57.94166667,-134.75,Cube Cove Airport,Alaska,AK,United States,Cube Cove
VHN,31.05777778,-104.78388889,Culberson County,Texas,TX,United States,Van Horn
A1L,34.26861111,-86.85805556,Cullman Regional Folsom Field,Alabama,AL,United States,Cullman
CJR,38.52555556,-77.85972222,Culpeper Regional,Virginia,VA,United States,Culpeper
NC4,36.4,-76.01555556,Currituck County Regional,North Carolina,NC,United States,Currituck
BBD,31.17916667,-99.32388889,Curtis Field,Texas,TX,United States,Brady
VWF,43.73361111,-103.61944444,Custer County,South Dakota,SD,United States,Custer
WQQ,43.725,-103.35,Custer State Park,South Dakota,SD,United States,Fairburn
CTB,48.60833333,-112.37611111,Cut Bank International,Montana,MT,United States,Cut Bank
CGF,41.565,-81.48638889,Cuyahoga County,Ohio,OH,United States,Cleveland
STT,18.33722222,-64.97333333,Cyril E King,U.S. Virgin Islands,VI,United States,Charlotte Amalie
TNT,25.86194444,-80.89694444,Dade-Collier Training and Transition,Florida,FL,United States,Miami
DCK,66.9425,-156.89138889,Dahl Creek Airport,Alaska,AK,United States,Dahl Creek
DHT,36.0225,-102.5475,Dalhart Municipal,Texas,TX,United States,Dalhart
RBD,32.68083333,-96.86833333,Dallas Executive,Texas,TX,United States,Dallas/Fort Worth
DAL,32.84722222,-96.85166667,Dallas Love Field,Texas,TX,United States,Dallas
DNE,33.07888889,-96.73833333,Dallas North,Texas,TX,United States,Dallas/Fort Worth
DFW,32.89722222,-97.03777778,Dallas/Fort Worth International,Texas,TX,United States,Dallas/Fort Worth
DNN,34.72305556,-84.87027778,Dalton Municipal,Georgia,GA,United States,Dalton
DXR,41.37166667,-73.48222222,Danbury Municipal,Connecticut,CT,United States,Danbury
MSN,43.14,-89.3375,Dane County Regional-Truax Field,Wisconsin,WI,United States,Madison
DGB,58.13333333,-152.55,Danger Bay Airport,Alaska,AK,United States,Danger Bay
DNL,33.46666667,-82.03944444,Daniel Field,Georgia,GA,United States,Augusta
HNL,21.31777778,-157.92027778,Daniel K Inouye International,Hawaii,HI,United States,Honolulu
HIK,21.31777778,-157.92027778,Daniel K Inouye International,Hawaii,HI,United States,Honolulu
CT5,41.81972222,-71.90083333,Danielson Airport,Connecticut,CT,United States,Danielson
DAN,36.5725,-79.33638889,Danville Regional,Virginia,VA,United States,Danville
MEO,35.91888889,-75.69555556,Dare County Regional,North Carolina,NC,United States,Manteo
UDG,34.44944444,-79.89,Darlington County,South Carolina,SC,United States,Darlington
YDN,51.10138889,-100.05333333,Dauphin Barker,Manitoba,MB,Canada,Dauphin
DVN,41.61027778,-90.58833333,Davenport Municipal,Iowa,IA,United States,Davenport
WQW,55.91444444,-161.6375,David River Airport,Alaska,AK,United States,David River
DWH,30.06166667,-95.55277778,David Wayne Hooks Memorial,Texas,TX,United States,Houston
FQF,58.35277778,-133.99138889,Davidson Creek Airport,Alaska,AK,United States,Davidson Creek
DMA,32.16638889,-110.88305556,Davis Monthan AFB,Arizona,AZ,United States,Tucson
YDA,64.04222222,-139.13027778,Dawson City Airport,Yukon Territory,YT,Canada,Dawson City
GDV,47.13861111,-104.80722222,Dawson Community,Montana,MT,United States,Glendive
YDQ,55.74222222,-120.18305556,Dawson Creek Airport,British Columbia,BC,Canada,Dawson Creek
MGY,39.58888889,-84.22472222,Dayton-Wright Brothers,Ohio,OH,United States,Dayton
DAB,29.18,-81.05805556,Daytona Beach International,Florida,FL,United States,Daytona Beach
IN1,41.30722222,-85.06444444,De Kalb County,Indiana,IN,United States,Auburn
II3,41.93388889,-88.70555556,De Kalb Taylor Municipal,Illinois,IL,United States,De Kalb
A98,69.17083333,-163.25638889,Deadfall Air Strip,Alaska,AK,United States,Deadfall
SCC,70.19472222,-148.46527778,Deadhorse Airport,Alaska,AK,United States,Deadhorse
A02,57.06666667,-153.93777778,Deadmans Bay Airport,Alaska,AK,United States,Deadmans Bay
NH3,44.08027778,-72.00777778,Dean Memorial,New Hampshire,NH,United States,Haverhill
YRD,52.81666667,-126.96666667,Dean River Airport,British Columbia,BC,Canada,Dean River
YDL,58.42222222,-130.03138889,Dease Lake Airport,British Columbia,BC,Canada,Dease Lake
DTR,48.51,-122.80305556,Decatur,Washington,WA,United States,Decatur Island
DEC,39.83444444,-88.86555556,Decatur Airport,Illinois,IL,United States,Decatur
BGE,30.97166667,-84.63694444,Decatur County Industrial Air Park,Georgia,GA,United States,Bainbridge
XXV,48.49972222,-122.81388889,Decatur Shores,Washington,WA,United States,Decatur
DEH,43.27555556,-91.73944444,Decorah Municipal,Iowa,IA,United States,Decorah
A36,55.56027778,-131.65555556,Deep Bay Airport,Alaska,AK,United States,Deep Bay
DHB,48.62083333,-123.00305556,Deer Harbor Marina,Washington,WA,United States,Deer Harbor
YDF,49.20916667,-57.39444444,Deer Lake Airport,Newfoundland and Labrador,NL,Canada,Deer Lake
VWW,46.38777778,-112.765,Deer Lodge-City-County,Montana,MT,United States,Deer Lodge
VT1,42.92722222,-72.86555556,Deerfield Valley Regional,Vermont,VT,United States,West Dover
DRG,66.06916667,-162.76694444,Deering Airport,Alaska,AK,United States,Deering
DFI,41.3375,-84.42888889,Defiance Memorial,Ohio,OH,United States,Defiance
PDK,33.87555556,-84.30194444,Dekalb Peachtree,Georgia,GA,United States,Atlanta
C1A,37.54638889,-121.15861111,Del Mar Farms,California,CA,United States,Patterson
DRT,29.37416667,-100.92722222,Del Rio International,Texas,TX,United States,Del Rio
FL8,29.06694444,-81.28361111,Deland Municipal Sidney H Taylor Field,Florida,FL,United States,Deland
GED,38.68777778,-75.35944444,Delaware Coastal,Delaware,DE,United States,Georgetown
MIE,40.2425,-85.39583333,Delaware County Regional,Indiana,IN,United States,Muncie/Anderson/Newcastle
O4H,40.27944444,-83.11333333,Delaware Municipal Jim Moore Field,Ohio,OH,United States,Delaware
DQO,32.41083333,-91.49861111,Delhi Municipal,Louisiana,LA,United States,Delhi
YWJ,65.21111111,-123.43638889,Deline Airport,Northwest Territories,NT,Canada,Deline
ESC,45.72277778,-87.09361111,Delta County,Michigan,MI,United States,Escanaba
DJN,64.05,-145.7225,Delta Junction Airport,Alaska,AK,United States,Delta Junction
DTA,39.38361111,-112.50222222,Delta Municipal,Utah,UT,United States,Delta
DE3,39.21833333,-75.59666667,Delware Airpark,Delaware,DE,United States,Dover-Cheswold
DMN,32.2625,-107.71888889,Deming Municipal,New Mexico,NM,United States,Deming
AL5,32.46388889,-87.95416667,Demopolis Regional,Alabama,AL,United States,Demopolis
MCL,63.645,-148.79805556,Denali,Alaska,AK,United States,McKinley Park
A84,63.75555556,-147.93,Denali West Lodge Private,Alaska,AK,United States,Denali
AR2,35.08111111,-92.42444444,Dennis F Cantrell Field,Arkansas,AR,United States,Conway
ZEL,52.13972222,-128.06361111,Denny Island,British Columbia,BC,Canada,Bella Bella
BC5,50.41111111,-125.18333333,Dent Island Lodge,British Columbia,BC,Canada,Dent Island 
DTO,33.20222222,-97.19805556,Denton Enterprise,Texas,TX,United States,Denton
TX2,32.97472222,-102.845,Denver City Airport,Texas,TX,United States,Denver City
DEN,39.86166667,-104.67305556,Denver International,Colorado,CO,United States,Denver
LOL,40.06638889,-118.565,Derby Field,Nevada,NV,United States,Lovelock
DSM,41.53416667,-93.6575,Des Moines International,Iowa,IA,United States,Des Moines
DRA,36.62,-116.03222222,Desert Rock,Nevada,NV,United States,Mercury
YDS,50.18333333,-124.7,Desolation Sound Marine Park,British Columbia,BC,Canada,Desolation Sound
DSI,30.4,-86.47138889,Destin Executive,Florida,FL,United States,Destin
DTL,46.82527778,-95.88555556,Detroit Lakes-Wething Field,Minnesota,MN,United States,Detroit Lakes
DTW,42.2125,-83.35333333,Detroit Metro Wayne County,Michigan,MI,United States,Detroit
DTT,42.31277778,-83.17861111,Detroit Metropolitan Area,Michigan,MI,United States,Detroit
DVL,48.11666667,-98.91,Devils Lake Regional,North Dakota,ND,United States,Devils Lake
YUW,68.63333333,-71.13333333,Dewar Lakes Airport,Nunavut Territory,NU,Canada,Dewar Lakes
XWJ,45.00444444,-69.2375,Dexter Regional,Maine,ME,United States,Dexter
DVK,64.51138889,-110.28972222,Diavik Airport,Northwest Territories,NT,Canada,Diavik
DIK,46.79722222,-102.80194444,Dickinson - Theodore Roosevelt Regional,North Dakota,ND,United States,Dickinson
FAJ,18.30888889,-65.66166667,Diego Jimenez Torres,Puerto Rico,PR,United States,Fajardo
EEN,42.89833333,-72.27083333,Dillant Hopkins,New Hampshire,NH,United States,Keene
HDH,21.57944444,-158.19722222,Dillingham,Hawaii,HI,United States,Mokuleia
DLG,59.04472222,-158.50555556,Dillingham Airport,Alaska,AK,United States,Dillingham
DLL,34.44916667,-79.36861111,Dillon County,South Carolina,SC,United States,Dillon
T9X,28.52222222,-99.82361111,Dimmit County,Texas,TX,United States,Carrizo Springs
WQE,40.49194444,-123.59833333,Dinsmore Airport,California,CA,United States,Dinsmore
DIO,65.75861111,-168.95305556,Diomede Heliport,Alaska,AK,United States,Diomede Island
A47,57.61666667,-134.36666667,Distin Lake Airport,Alaska,AK,United States,Distin Lake
MGE,33.91444444,-84.51416667,Dobbins ARB,Georgia,GA,United States,Marietta
NCQ,33.91444444,-84.51416667,Dobbins ARB,Georgia,GA,United States,Marietta
DDC,37.76305556,-99.96555556,Dodge City Regional,Kansas,KS,United States,Dodge City
A74,59.24111111,-151.87722222,Dog Fish Bay,Alaska,AK,United States,Nanwalek
DLO,55.12222222,-132.05,Dolomi Airport,Alaska,AK,United States,Dolomi
GDC,34.75833333,-82.37638889,Donaldson Field,South Carolina,SC,United States,Greenville
FVQ,62.07194444,-158.20416667,Donlin Creek Mine Airport,Alaska,AK,United States,Donlin Creek Mine
SUE,44.84361111,-87.42166667,Door County Cherryland,Wisconsin,WI,United States,Sturgeon Bay
DOF,55.23333333,-132.21666667,Dora Bay Airport,Alaska,AK,United States,Dora Bay
DDP,18.46388889,-66.29333333,Dorado Airport,Puerto Rico,PR,United States,Dorado
NU1,68.12527778,-106.58527778,Doris Lake Airport,Nunavut Territory,NU,Canada,Doris Lake
DHN,31.32111111,-85.44944444,Dothan Regional,Alabama,AL,United States,Dothan
ZXB,35.14527778,-106.79527778,Double Eagle II,New Mexico,NM,United States,Albuquerque
OQW,61.43416667,-157.05,Doug Carney Strip Airport,Alaska,AK,United States,Doug Carney Strip
DOV,39.12944444,-75.46583333,Dover AFB,Delaware,DE,United States,Dover
MI6,41.99305556,-86.12805556,Dowagiac Municipal,Michigan,MI,United States,Dowagiac
WBY,34.0525,-118.25944444,Downtown Airport,California,CA,United States,Downtown
JMN,44.16388889,-94.00416667,Downtown Heliport,Minnesota,MN,United States,Mankato
JDB,32.76666667,-97.31666667,Downtown Heliport,Texas,TX,United States,Dallas/Fort Worth
JRB,40.70111111,-74.00916667,Downtown Manhattan/Wall Street Heliport,New York,NY,United States,New York
DYL,40.33305556,-75.12222222,Doylestown Airport,Pennsylvania,PA,United States,Doylestown
HUC,18.13805556,-65.80083333,Dr Hermenegildo Ortiz Quinones,Puerto Rico,PR,United States,Humacao
FYV,36.005,-94.17,Drake Field,Arkansas,AR,United States,Fayetteville
TPL,31.15194444,-97.41611111,Draughon-Miller Central Texas Regional,Texas,TX,United States,Temple
DRF,60.58888889,-152.16194444,Drift River Airport,Alaska,AK,United States,Drift River
A22,53.97277778,-166.85694444,Driftwood Bay Airport,Alaska,AK,United States,Driftwood Bay
ID1,43.74277778,-111.09666667,Driggs-Reed Memorial,Idaho,ID,United States,Driggs
DRU,46.62083333,-113.205,Drummond Airport,Montana,MT,United States,Drummond
DRE,46.00944444,-83.74388889,Drummond Island Airport,Michigan,MI,United States,Drummond Island
FQQ,59.14666667,-138.56361111,Dry Bay Airport,Alaska,AK,United States,Dry Bay
YHD,49.83138889,-92.74361111,Dryden Regional,Ontario,ON,Canada,Dryden
DPA,41.91555556,-88.24666667,Du Page County,Illinois,IL,United States,Chicago
DUJ,41.17833333,-78.89861111,DuBois Regional,Pennsylvania,PA,United States,DuBois
DBQ,42.40194444,-90.70944444,Dubuque Regional,Iowa,IA,United States,Dubuque
WUJ,40.19388889,-110.38305556,Duchesne Municipal,Utah,UT,United States,Duchesne
EGI,30.64861111,-86.52194444,Duke Field,Florida,FL,United States,Crestview
DLH,46.84194444,-92.19361111,Duluth International,Minnesota,MN,United States,Duluth
DUQ,48.75472222,-123.70972222,Duncan,British Columbia,BC,Canada,Duncan/Quamichan Lake
DNC,56.75694444,-133.22166667,Duncan Canal Airport,Alaska,AK,United States,Duncan Canal
A4K,64.42138889,-149.89444444,Dune Lake Airport,Alaska,AK,United States,Dune Lake
DQJ,47.39138889,-102.77194444,Dunn County Weydahl Field,North Dakota,ND,United States,Killdeer
NC5,35.0,-77.98166667,Duplin County,North Carolina,NC,United States,Kenansville
DRO,37.16388889,-107.74222222,Durango La Plata County,Colorado,CO,United States,Durango
UXG,40.91777778,-109.39055556,Dutch John Airport,Utah,UT,United States,Dutch John
TN6,35.99805556,-89.40666667,Dyersburg Regional,Tennessee,TN,United States,Dyersburg
DYS,32.42055556,-99.85472222,Dyess AFB,Texas,TX,United States,Abilene
BZT,28.98222222,-95.57972222,Eagle Air Park,Texas,TX,United States,Brazoria
EAA,64.77805556,-141.14972222,Eagle Airport,Alaska,AK,United States,Eagle
EGE,39.64277778,-106.91583333,Eagle County Regional,Colorado,CO,United States,Eagle
IN4,39.83083333,-86.29444444,Eagle Creek Airpark,Indiana,IN,United States,Indianapolis
A99,68.67666667,-162.64694444,Eagle Creek Airport,Alaska,AK,United States,Eagle Creek
EAG,67.56222222,-162.97527778,Eagle Creek Strip,Alaska,AK,United States,Noatak
EHR,57.41666667,-152.71666667,Eagle Harbor Airport,Alaska,AK,United States,Eagle Harbor
ELA,29.60055556,-96.32194444,Eagle Lake Airport,Texas,TX,United States,Eagle Lake
EGP,28.70222222,-100.48055556,Eagle Pass Municipal,Texas,TX,United States,Eagle Pass
EGV,45.93222222,-89.26833333,Eagle River Union,Wisconsin,WI,United States,Eagle River
NJ2,39.66555556,-74.30805556,Eagles Nest,New Jersey,NJ,United States,West Creek
DUA,33.93333333,-96.4,Eaker Field,Oklahoma,OK,United States,Durant
SYA,52.71222222,174.11361111,Eareckson AS,Alaska,AK,United States,Shemya
TSS,40.7425,-73.97222222,East 34th Street Heliport,New York,NY,United States,New York
JRE,40.8,-73.96666667,East 60th Street Heliport,New York,NY,United States,New York
HTO,40.95944444,-72.25166667,East Hampton Airport,New York,NY,United States,East Hampton
GGG,32.38388889,-94.71138889,East Texas Regional,Texas,TX,United States,Longview
PDT,45.69472222,-118.84305556,Eastern Oregon Regional at Pendleton,Oregon,OR,United States,Pendleton
FRY,43.99111111,-70.94777778,Eastern Slopes Regional,Maine,ME,United States,Fryeburg
MRB,39.40222222,-77.98305556,Eastern WV Regional/Shepherd Field,West Virginia,WV,United States,Martinsburg
CLL,30.58861111,-96.36388889,Easterwood Field,Texas,TX,United States,College Station/Bryan
ETN,32.415,-98.80972222,Eastland Municipal,Texas,TX,United States,Eastland
ESN,38.80416667,-76.06888889,Easton/Newnam Field,Maryland,MD,United States,Easton
OIC,42.56638889,-75.52416667,Eaton,New York,NY,United States,Norwich
JDG,47.60083333,-122.33472222,Edgewater Inn Helipad Sea Wash,Washington,WA,United States,Seattle
YXD,53.57194444,-113.51944444,Edmonton City Centre,Alberta,AB,Canada,Edmonton
YEG,53.30972222,-113.57944444,Edmonton International,Alberta,AB,Canada,Edmonton
YEA,53.43805556,-113.5525,Edmonton Metropolitan Area,Alberta,AB,Canada,Edmonton
YED,53.67444444,-113.46138889,Edmonton Namao Heliport,Alberta,AB,Canada,Edmonton
EDA,55.93638889,-133.65555556,Edna Bay Airport,Alaska,AK,United States,Edna Bay
MPV,44.20361111,-72.56222222,Edward F Knapp State,Vermont,VT,United States,Montpelier/Barre
GAL,64.73611111,-156.9375,Edward G. Pitka Sr.,Alaska,AK,United States,Galena
EDW,34.91805556,-117.87916667,Edwards AFB,California,CA,United States,Edwards
ECU,29.94694444,-100.17388889,Edwards County,Texas,TX,United States,Rocksprings
EEK,60.21361111,-162.04388889,Eek Airport,Alaska,AK,United States,Eek
IL2,39.07055556,-88.53361111,Effingham County Memorial,Illinois,IL,United States,Effingham
EGX,58.18555556,-157.37555556,Egegik Airport,Alaska,AK,United States,Egegik
VPS,30.48333333,-86.52527778,Eglin AFB Destin Fort Walton Beach,Florida,FL,United States,Valparaiso
BC6,49.75277778,-123.93027778,Egmont Water Aerodrome,British Columbia,BC,Canada,Egmont
EIL,64.66555556,-147.10138889,Eielson AFB,Alaska,AK,United States,Fairbanks
EFB,58.0,-135.73333333,Eight Fathom Bight Airport,Alaska,AK,United States,Eight Fathom Bight
YOA,64.69888889,-110.61472222,Ekati Airport,Northwest Territories,NT,Canada,Ekati
KKU,58.81111111,-158.55888889,Ekuk Airport,Alaska,AK,United States,Ekuk
KEK,59.35694444,-157.47111111,Ekwok Airport,Alaska,AK,United States,Ekwok
ZXO,56.18416667,-133.31055556,El Capitan Peak,Alaska,AK,United States,El Capitan
NJK,32.82916667,-115.67166667,El Centro NAF,California,CA,United States,El Centro
T3X,26.85833333,-98.22166667,El Coyote Ranch,Texas,TX,United States,Encino
ELP,31.80722222,-106.37638889,El Paso International,Texas,TX,United States,El Paso
NZJ,33.6675,-117.71833333,El Toro MCAS,California,CA,United States,Santa Ana
ELV,58.2,-136.31666667,Elfin Cove Seaplane Base,Alaska,AK,United States,Elfin Cove
ELI,64.615,-162.27055556,Elim Airport,Alaska,AK,United States,Elim
ECG,36.26055556,-76.17444444,Elizabeth City CGAS/Regional,North Carolina,NC,United States,Elizabeth City
FID,41.25138889,-72.03166667,Elizabeth Field,New York,NY,United States,Fishers Island
08A,59.15694444,-151.82916667,Elizabeth Island Airport,Alaska,AK,United States,Elizabeth Island
EKI,41.71944444,-86.00333333,Elkhart Municipal,Indiana,IN,United States,Elkhart
EKN,38.88944444,-79.85722222,Elkins-Randolph County-Jennings Randolph Field,West Virginia,WV,United States,Elkins
EKO,40.825,-115.79138889,Elko Regional,Nevada,NV,United States,Elko
ELW,60.89333333,-146.70833333,Ellamar Seaplane Base,Alaska,AK,United States,Ellamar
EFD,29.60722222,-95.15861111,Ellington,Texas,TX,United States,Houston
TN3,35.50694444,-86.80388889,Ellington,Tennessee,TN,United States,Lewisburg
YEL,46.35166667,-82.56111111,Elliot Lake Municipal,Ontario,ON,Canada,Elliot Lake
KOA,19.73888889,-156.04555556,Ellison Onizuka Kona International at Keahole,Hawaii,HI,United States,Kona
XXN,39.45138889,-123.37222222,Ells Field-Willits Municipal,California,CA,United States,Willits
RCA,44.145,-103.10361111,Ellsworth AFB,South Dakota,SD,United States,Rapid City
EDF,61.25138889,-149.80638889,Elmendorf AFB,Alaska,AK,United States,Anchorage
ELM,42.15972222,-76.89194444,Elmira/Corning Regional,New York,NY,United States,Elmira/Corning
ELY,39.29972222,-114.84194444,Ely Airport/Yelland Field,Nevada,NV,United States,Ely
LYU,47.82388889,-91.82944444,Ely Municipal,Minnesota,MN,United States,Ely
QEM,33.55833333,-117.71111111,Emerald Bay Airport,California,CA,United States,Emerald Bay
EMK,62.78611111,-164.49083333,Emmonak Airport,Alaska,AK,United States,Emmonak
VA1,36.68694444,-77.48277778,Emporia Greensville Regional,Virginia,VA,United States,Emporia
EMP,38.33055556,-96.19,Emporia Municipal,Kansas,KS,United States,Emporia
WDG,36.37583333,-97.78944444,Enid Woodring Regional,Oklahoma,OK,United States,Enid
UXV,45.42472222,-117.26472222,Enterprise Municipal,Oregon,OR,United States,Enterprise
ETS,31.29972222,-85.89972222,Enterprise Municipal,Alabama,AL,United States,Enterprise
WI3,45.13583333,-87.18805556,Ephraim Gibralter,Wisconsin,WI,United States,Ehpriam
EPH,47.30805556,-119.51694444,Ephrata Municipal,Washington,WA,United States,Ephrata/Moses Lake
OMA,41.30305556,-95.89416667,Eppley Airfield,Nebraska,NE,United States,Omaha
ERI,42.08305556,-80.17388889,Erie International/Tom Ridge Field,Pennsylvania,PA,United States,Erie
QAK,41.51638889,-82.86944444,Erie Ottawa International,Ohio,OH,United States,Port Clinton
YXY,60.70944444,-135.06722222,Erik Nielsen International,Yukon Territory,YT,Canada,Whitehorse
PRC,34.65472222,-112.41916667,Ernest A. Love Field,Arizona,AZ,United States,Prescott
ESF,31.395,-92.29583333,Esler Regional,Louisiana,LA,United States,Alexandria
CDW,40.87527778,-74.28138889,Essex County,New Jersey,NJ,United States,Caldwell
EST,43.4075,-94.74638889,Estherville Municipal,Iowa,IA,United States,Estherville
MAZ,18.25555556,-67.14833333,Eugenio Maria de Hostos,Puerto Rico,PR,United States,Mayaguez
YEU,79.99444444,-85.81194444,Eureka Airport,Nunavut Territory,NU,Canada,Eureka
EUE,39.60361111,-116.00361111,Eureka Airport,Nevada,NV,United States,Eureka
EVC,64.04194444,-148.86305556,Eva Creek Airport,Alaska,AK,United States,Eva Creek
EVW,41.27472222,-111.03472222,Evanston-Uinta County Burns Field,Wyoming,WY,United States,Evanston
EVV,38.04083333,-87.52861111,Evansville Regional,Indiana,IN,United States,Evansville
EVM,47.42416667,-92.49666667,Eveleth Virginia Municipal,Minnesota,MN,United States,Eveleth
UCY,36.37972222,-88.98583333,Everett-Stewart Regional,Tennessee,TN,United States,Union City
JZW,31.415,-87.04333333,Evergreen Regional Middleton Field,Alabama,AL,United States,Evergreen
EXI,58.42083333,-135.44722222,Excursion Inlet Seaplane Base,Alaska,AK,United States,Excursion Inlet
ORL,28.54555556,-81.33305556,Executive,Florida,FL,United States,Orlando
FAI,64.815,-147.85638889,Fairbanks International,Alaska,AK,United States,Fairbanks
SKA,47.615,-117.65583333,Fairchild AFB,Washington,WA,United States,Spokane
KCK,39.15,-94.6,Fairfax Municipal,Kansas,KS,United States,Kansas City
SC2,34.31583333,-81.10861111,Fairfield County,South Carolina,SC,United States,Winnsboro
LHQ,39.75555556,-82.65722222,Fairfield County,Ohio,OH,United States,Lancaster
FRM,43.64388889,-94.41555556,Fairmont Municipal,Minnesota,MN,United States,Fairmont
FAU,60.89611111,-147.44666667,Fairmount Island Airport,Alaska,AK,United States,Fairmount Island
MSC,33.46083333,-111.72833333,Falcon Field,Arizona,AZ,United States,Mesa
FAL,26.58333333,-99.13333333,Falcon State Park,Texas,TX,United States,Roma
FVE,33.35416667,-117.25083333,Fallbrook Community Airpark,California,CA,United States,Fallbrook
FLX,39.49916667,-118.74888889,Fallon Municipal,Nevada,NV,United States,Fallon
NFL,39.41777778,-118.69861111,Fallon NAS,Nevada,NV,United States,Fallon
FLJ,60.51666667,-148.0,Falls Bay Airport,Alaska,AK,United States,Falls Bay
INL,48.56555556,-93.40222222,Falls International Einarson Field,Minnesota,MN,United States,International Falls
